,C,BAC,JPM,S&P
12/5/1995,96.6933,18.1875,20.4167,617.68
12/6/1995,96.112,18.625,20.7917,620.18
12/7/1995,95.1431,18.4063,19.9583,616.17
12/8/1995,94.5618,18.4063,20.2083,617.48
12/11/1995,94.1743,18.25,20,619.52
12/12/1995,93.9805,18.25,19.875,618.78
12/13/1995,94.7556,18.0625,19.9583,621.69
12/14/1995,95.1431,17.5313,19.5417,616.92
12/15/1995,93.7867,17.5,19.25,616.34
12/18/1995,90.4926,17.25,19.0833,606.81
12/19/1995,91.6552,17.3438,19.6667,611.93
12/20/1995,89.5237,17.5313,19.4167,605.94
12/21/1995,88.7486,17.2188,19.375,610.49
12/22/1995,91.0739,17.0938,19.4167,611.96
12/26/1995,93.5929,17.0938,19.5417,614.3
12/27/1995,97.2746,17.1563,19.6667,614.53
12/28/1995,98.6311,17.4063,19.5833,614.12
12/29/1995,97.4684,17.4063,19.5833,615.93
1/2/1996,95.7245,17.3438,19.625,620.73
1/3/1996,94.9494,17.375,19.5833,621.32
1/4/1996,95.5307,16.7813,18.75,617.7
1/5/1996,93.9805,16.4375,18.6667,616.71
1/8/1996,93.3992,16.625,18.6667,618.46
1/9/1996,91.4614,16.5313,18.2083,609.45
1/10/1996,89.1361,16.3125,18,598.48
1/11/1996,89.1361,16.4063,18.0417,602.69
1/12/1996,91.4614,16.5313,18.5417,601.81
1/15/1996,90.8801,16.4063,18.3333,599.82
1/16/1996,93.3992,16.5625,19.625,608.44
1/17/1996,96.3058,16.5938,19.8333,606.37
1/18/1996,93.9805,16.4688,19.625,608.24
1/19/1996,95.1431,16.6875,19.8333,611.83
1/22/1996,94.7556,16.75,20.1667,613.4
1/23/1996,95.5307,16.7813,20.375,612.79
1/24/1996,96.112,16.75,20.6667,619.96
1/25/1996,94.5618,16.75,21.0417,617.03
1/26/1996,94.1743,16.75,21.0833,621.62
1/29/1996,96.4996,17.0938,22,624.22
1/30/1996,99.7937,17.3125,22.25,630.15
1/31/1996,101.9252,17.4688,22.3333,636.02
2/1/1996,100.5688,17.1875,21.9583,638.46
2/2/1996,98.6311,17.1875,21.75,635.84
2/5/1996,98.4373,17.2813,21.7917,641.43
2/6/1996,99.2124,17.375,22.125,646.33
2/7/1996,99.7937,17.625,22.3333,649.93
2/8/1996,101.3439,18.375,22.375,656.07
2/9/1996,101.1501,18.375,22.3333,656.37
2/12/1996,102.5066,18.4063,22.5417,661.45
2/13/1996,103.4754,18.4375,22.5417,660.51
2/14/1996,104.6381,18.2813,22.5833,655.58
2/15/1996,104.8318,18.5,22.5833,651.32
2/16/1996,104.2505,18.3125,22.5833,647.98
2/20/1996,102.5066,17.9688,22.25,640.65
